"County,State",MedIncome,Population,Value
"Butte,California",44346,220000.0,345000.0
"Calaveras,California",49893,45578.0,374250.0
"Colusa,California",49094,21419.0,344900.0
"Contra Costa,California",82506,1049025.0,620000.0
"Del Norte,California",37268,28610.0,299950.0
"El Dorado,California",67464,181058.0,525000.0
"Fresno,California",43084,930450.0,309590.0
"Glenn,California",48613,28122.0,299000.0
"Humboldt,California",48739,134623.0,370000.0
"Imperial,California",36974,174528.0,249900.0
"Inyo,California",61358,18546.0,379000.0
"Kern,California",39703,839631.0,255000.0
"Kings,California",35306,152982.0,270000.0
"Lake,California",43185,64665.0,288000.0
"Lassen,California",37844,34895.0,220000.0
"Los Angeles,California",62224,9818605.0,689000.0
"Madera,California",39897,150865.0,330000.0
"Marin,California",134275,252409.0,1275000.0
"Mariposa,California",53143,18251.0,335000.0
"Mendocino,California",50150,87841.0,520000.0
"Merced,California",38519,255793.0,309999.5
"Modoc,California",44822,9686.0,172500.0
"Mono,California",51325,14202.0,499000.0
"Monterey,California",56193,415057.0,849000.0
"Napa,California",74984,136484.0,825000.0
"Nevada,California",61799,98764.0,500000.0
"Orange,California",69268,3010232.0,798000.0
"Placer,California",66700,348432.0,548000.0
"Plumas,California",53599,20007.0,369000.0
"Riverside,California",40637,2189641.0,414990.0
"Sacramento,California",52544,1418788.0,389900.0
"San Benito,California",53822,55269.0,612900.0
"San Bernardino,California",40316,2035210.0,350000.0
"San Diego,California",61386,3095313.0,655900.0
"San Francisco,California",130696,805235.0,1349000.0
"San Joaquin,California",44995,685306.0,399990.0
"San Luis Obispo,California",58491,269637.0,690000.0
"San Mateo,California",126392,718451.0,1388000.0
"Santa Barbara,California",62690,423895.0,999000.0
"Santa Clara,California",107877,1781642.0,1099956.0
"Santa Cruz,California",69355,262382.0,885000.0
"Shasta,California",46582,177223.0,315000.0
"Sierra,California",46615,3240.0,
"Siskiyou,California",45065,44900.0,269000.0
"Solano,California",51664,413344.0,465000.0
"Sonoma,California",64501,483878.0,699000.0
"Stanislaus,California",44120,514453.0,349500.0
"Sutter,California",44535,94737.0,329900.0
"Tehama,California",42483,63463.0,269900.0
"Trinity,California",40640,13786.0,299000.0
"Tulare,California",40420,442179.0,269900.0
"Tuolumne,California",47838,55365.0,320000.0
"Ventura,California",61712,823318.0,649900.0
"Yolo,California",54118,200849.0,499000.0
"Yuba,California",40929,72155.0,314999.0
"Adams,Colorado",43315,441603.0,375000.0
"Alamosa,Colorado",37351,15445.0,219000.0
"Arapahoe,Colorado",60180,572003.0,399000.0
"Archuleta,Colorado",41947,12084.0,442500.0
"Baca,Colorado",40968,3788.0,
"Bent,Colorado",27574,6499.0,
"Boulder,Colorado",73394,294567.0,585000.0
"Broomfield,Colorado",66410,55889.0,489900.0
"Chaffee,Colorado",46998,17809.0,474900.0
"Cheyenne,Colorado",56699,1836.0,
"Clear Creek,Colorado",61300,9088.0,397904.0
"Conejos,Colorado",36894,8256.0,
"Costilla,Colorado",34282,3524.0,159500.0
"Crowley,Colorado",19141,5823.0,
"Custer,Colorado",41681,4255.0,414000.0
"Delta,Colorado",38855,30952.0,339500.0
"Denver,Colorado",79849,600158.0,479000.0
"Dolores,Colorado",34935,2064.0,
"Douglas,Colorado",73662,285465.0,522500.0
"Eagle,Colorado",78152,52197.0,1240000.0
"Elbert,Colorado",57334,23086.0,549985.0
"El Paso,Colorado",48467,622263.0,367900.0
"Fremont,Colorado",35435,46824.0,279000.0
"Garfield,Colorado",59653,56389.0,475000.0
"Gilpin,Colorado",48128,5441.0,479000.0
"Grand,Colorado",49845,14843.0,549000.0
"Gunnison,Colorado",47149,15324.0,623500.0
"Hinsdale,Colorado",50698,843.0,495000.0
"Huerfano,Colorado",42459,6711.0,287000.0
"Jackson,Colorado",49723,1394.0,
"Jefferson,Colorado",63536,534543.0,465000.0
"Kiowa,Colorado",50117,1398.0,
"Kit Carson,Colorado",37274,8270.0,
"Lake,Colorado",37106,7310.0,319000.0
"La Plata,Colorado",55807,51334.0,505000.0
"Larimer,Colorado",54188,299630.0,400000.0
"Las Animas,Colorado",40765,15507.0,199900.0
"Lincoln,Colorado",28828,5467.0,
"Logan,Colorado",48161,22709.0,
"Mesa,Colorado",44935,146723.0,299900.0
"Mineral,Colorado",71095,712.0,419900.0
"Moffat,Colorado",42130,13795.0,199900.0
"Montezuma,Colorado",42998,25535.0,343950.0
"Montrose,Colorado",39930,41276.0,355000.0
"Morgan,Colorado",45685,28159.0,285000.0
"Otero,Colorado",38190,18831.0,
"Ouray,Colorado",59639,4436.0,599000.0
"Park,Colorado",45113,16206.0,399000.0
